Category,Subcategory,Type,Item_Name,Item_Variant,Sales_Type,Source,Sales_Count,Revenue
Sales,BEVERAGES,COFFEE BASED,Americano (Hot),Americano (Hot),Ala Carte,EZO QS,18,22000
Sales,BEVERAGES,COFFEE BASED,Americano (Hot),Americano (Hot),Ala Carte,POS,428,22000
Sales,BEVERAGES,COFFEE BASED,Americano (Hot),Americano (Hot),Ala Carte,GRAB,1,24000
Sales,BEVERAGES,COFFEE BASED,Cappuccino,Cappuccino,Ala Carte,EZO QS,14,25000
Sales,BEVERAGES,COFFEE BASED,Cappuccino,Cappuccino,Ala Carte,POS,162,25000
Sales,BEVERAGES,COFFEE BASED,Caramel Latte,Caramel Latte,Ala Carte,EZO QS,20,26000
Sales,BEVERAGES,COFFEE BASED,Caramel Latte,Caramel Latte,Ala Carte,POS,38,26000
Sales,BEVERAGES,COFFEE BASED,Coffee Latte,Coffee Latte,Ala Carte,EZO QS,17,25000
Sales,BEVERAGES,COFFEE BASED,Coffee Latte,Coffee Latte,Ala Carte,POS,170,25000
Sales,BEVERAGES,COFFEE BASED,Espresso Double,Espresso Double,Ala Carte,EZO QS,2,18000
Sales,BEVERAGES,COFFEE BASED,Espresso Double,Espresso Double,Ala Carte,POS,6,18000
Sales,BEVERAGES,COFFEE BASED,Espresso Single,Espresso Single,Ala Carte,EZO QS,3,14000
Sales,BEVERAGES,COFFEE BASED,Espresso Single,Espresso Single,Ala Carte,POS,13,14000
Sales,BEVERAGES,COFFEE BASED,Himalayan Salt Coffee Series,Himalayan Salt Coffee Series,Ala Carte,GRAB,3,0
Sales,BEVERAGES,COFFEE BASED,Hot Aren Latte,Aren Latte,Ala Carte,EZO QS,32,25000
Sales,BEVERAGES,COFFEE BASED,Hot Aren Latte,Aren Latte,Ala Carte,POS,72,25000
Sales,BEVERAGES,COFFEE BASED,Iced Americano,Iced Americano,Ala Carte,EZO QS,30,24000
Sales,BEVERAGES,COFFEE BASED,Iced Americano,Iced Americano,Ala Carte,POS,273,24000
Sales,BEVERAGES,COFFEE BASED,Iced Avocado Latte,Iced Avocado Latte,Ala Carte,EZO DELIVERY,1,27000
Sales,BEVERAGES,COFFEE BASED,Iced Avocado Latte,Iced Avocado Latte,Ala Carte,EZO QS,41,27000
Sales,BEVERAGES,COFFEE BASED,Iced Avocado Latte,Iced Avocado Latte,Ala Carte,POS,163,27000
Sales,BEVERAGES,COFFEE BASED,Iced Blackjack,Iced Blackjack,Ala Carte,EZO QS,11,26000
Sales,BEVERAGES,COFFEE BASED,Iced Blackjack,Iced Blackjack,Ala Carte,POS,51,26000
Sales,BEVERAGES,COFFEE BASED,Iced Brown Sugar Latte,Iced Brown Sugar Latte,Ala Carte,EZO DELIVERY,1,27000
Sales,BEVERAGES,COFFEE BASED,Iced Brown Sugar Latte,Iced Brown Sugar Latte,Ala Carte,EZO QS,113,27000
Sales,BEVERAGES,COFFEE BASED,Iced Brown Sugar Latte,Iced Brown Sugar Latte,Ala Carte,POS,810,27000
Sales,BEVERAGES,COFFEE BASED,Iced Cappuccino,Iced Cappuccino,Ala Carte,EZO QS,15,26000
Sales,BEVERAGES,COFFEE BASED,Iced Cappuccino,Iced Cappuccino,Ala Carte,POS,136,26000
Sales,BEVERAGES,COFFEE BASED,Iced Caramel Latte,Iced Caramel Latte,Ala Carte,EZO DELIVERY,4,27000
Sales,BEVERAGES,COFFEE BASED,Iced Caramel Latte,Iced Caramel Latte,Ala Carte,EZO QS,52,27000
Sales,BEVERAGES,COFFEE BASED,Iced Caramel Latte,Iced Caramel Latte,Ala Carte,POS,334,27000
Sales,BEVERAGES,COFFEE BASED,Iced Coffee Latte,Iced Coffee Latte,Ala Carte,EZO QS,69,26000
Sales,BEVERAGES,COFFEE BASED,Iced Coffee Latte,Iced Coffee Latte,Ala Carte,POS,229,26000
Sales,BEVERAGES,COFFEE BASED,Iced Kopi Turkish,Iced Kopi Turkish,Ala Carte,EZO QS,3,20000
Sales,BEVERAGES,COFFEE BASED,Iced Kopi Turkish,Iced Kopi Turkish,Ala Carte,POS,25,20000
Sales,BEVERAGES,COFFEE BASED,Iced Kopi Turkish,Iced Kopi Turkish,Ala Carte,EZO QS,1,22000
Sales,BEVERAGES,COFFEE BASED,Iced Kopi Turkish,Iced Kopi Turkish,Ala Carte,POS,28,22000
Sales,BEVERAGES,COFFEE BASED,Iced Mocaccino,Iced Mocaccino,Ala Carte,EZO QS,15,26000
Sales,BEVERAGES,COFFEE BASED,Iced Mocaccino,Iced Mocaccino,Ala Carte,POS,20,26000
Sales,BEVERAGES,COFFEE BASED,Iced Pandan Latte,Iced Pandan Latte,Ala Carte,EZO QS,23,26000
Sales,BEVERAGES,COFFEE BASED,Iced Pandan Latte,Iced Pandan Latte,Ala Carte,POS,63,26000
Sales,BEVERAGES,COFFEE BASED,Iced Salt Americano,Iced Salt Americano,Package,EZO QS,2,31000
Sales,BEVERAGES,COFFEE BASED,Iced Sunkist Coffee,Iced Sunkist Coffee,Ala Carte,EZO QS,14,26000
Sales,BEVERAGES,COFFEE BASED,Iced Sunkist Coffee,Iced Sunkist Coffee,Ala Carte,POS,135,26000
Sales,BEVERAGES,COFFEE BASED,Iced Turkish Latte,Iced Turkish Latte,Ala Carte,EZO QS,10,27000
Sales,BEVERAGES,COFFEE BASED,Iced Turkish Latte,Iced Turkish Latte,Ala Carte,POS,9,27000
Sales,BEVERAGES,COFFEE BASED,Iced Vanilla Latte,Iced Vanilla Latte,Ala Carte,EZO QS,48,26000
Sales,BEVERAGES,COFFEE BASED,Iced Vanilla Latte,Iced Vanilla Latte,Ala Carte,POS,183,26000
Sales,BEVERAGES,COFFEE BASED,Iced Vanilla Latte,Iced Vanilla Latte,Ala Carte,GRAB,1,28500
Sales,BEVERAGES,COFFEE BASED,Kopi Djammu,Kopi Djammu,Ala Carte,POS,4,20000
